Document,Cluster,Prob_Cluster_1,Prob_Cluster_2,Prob_Cluster_3,Prob_Cluster_4,Prob_Cluster_5,Prob_Cluster_6,Prob_Cluster_7
anamnez_01_docx,1,0.25,0,0.25,0.25,0.25,0,8.88469259052743e-28
anamnez_02_odt,4,0,2.61672383382639e-12,0,0.333333333332461,0.333333333332461,0,0.333333333332461
anamnez_03_txt,1,0.333333333333333,0,0,0,0.333333333333333,1.92213235394112e-19,0.333333333333333
anamnez_04_html,1,1,0,0,0,0,0,0
anamnez_05_docx,1,0.999999999998055,2.09915539039675e-29,1.94445866931763e-12,0,0,0,0
anamnez_06_odt,1,0.947413860386273,0,0.0525861396137269,0,2.67358906093158e-20,0,0
anamnez_07_txt,1,0.499999737355141,0,0.499999737355141,0,5.25289717725166e-07,0,0
anamnez_08_html,3,0,0,0.5,0.5,0,0,0
biohimija_01_docx,3,0,0,0.5,0.5,1.4444521808571e-29,0,0
biohimija_02_odt,1,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333
biohimija_03_txt,2,0,0.5,0,0,0.5,0,0
biohimija_04_html,1,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0
biohimija_05_docx,4,0,0,1.09402744915687e-34,0.5,0.5,0,0
biohimija_06_odt,7,2.36267219552415e-44,0,0,0,0,3.5545217525867e-29,1
biohimija_07_txt,1,0.25,0,0.25,0.25,0.25,0,8.88469259144513e-28
kommentatory_01_docx,4,0,0,0,0.499999990401361,1.91972780268476e-08,0,0.499999990401361
kommentatory_02_odt,3,0,0,0.494874289325815,0,0.494874289325815,0,0.0102514213483704
kommentatory_03_txt,1,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333
kommentatory_04_html,4,0,0,0,0.5,0.5,0,0
kommentatory_05_docx,5,1.37046492159553e-32,0,0,0,0.5,0.5,0
kommentatory_06_odt,5,0,1.14976797704325e-22,0,0,1,0,0
kommentatory_07_txt,1,0.499992953341478,1.40933170440413e-05,0.499992953341478,0,0,0,0
neorganicheskaja_himija_01_docx,3,0,0,0.999999999981917,1.80826796928244e-11,0,0,0
neorganicheskaja_himija_02_odt,3,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
neorganicheskaja_himija_03_txt,7,1.45105344717682e-14,2.35611398373047e-17,0,2.49195032609379e-32,0,0,0.999999999999985
neorganicheskaja_himija_04_html,1,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333
neorganicheskaja_himija_05_docx,4,0,0,0,0.5,0.5,0,0
neorganicheskaja_himija_06_odt,1,0.5,0,0,2.91137047627625e-25,0.5,0,0
neorganicheskaja_himija_07_txt,4,0,5.15492824348923e-32,0,1,4.19115743323753e-49,0,2.52455197721927e-51
organicheskaja_himija_01_docx,2,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0
organicheskaja_himija_02_odt,2,0,0.5,0,0.5,0,0,0
organicheskaja_himija_03_txt,5,0,0,0,0,1,0,1.89772853613864e-45
organicheskaja_himija_04_html,3,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
organicheskaja_himija_05_docx,1,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0
organicheskaja_himija_06_odt,4,0.00248105924885241,0,0,0.997518940751148,0,1.95142986581166e-16,0
organicheskaja_himija_07_txt,1,0.333333333333333,0,0,1.53636324188833e-32,0,0.333333333333333,0.333333333333333
sportivnaja_meditsina_01_docx,2,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333
sportivnaja_meditsina_02_odt,4,0,0,0,0.5,0,0,0.5
sportivnaja_meditsina_03_txt,2,0,0.5,0.5,0,0,0,0
sportivnaja_meditsina_04_html,3,0,0,0.498648176327035,0,0.00270364734593051,0,0.498648176327035
sportivnaja_meditsina_05_docx,2,0,0.5,0.5,9.35121308169296e-52,0,0,0
sportivnaja_meditsina_06_odt,3,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
sportivnaja_meditsina_07_txt,4,0,0,6.805472356326e-15,0.499999999999997,0,0,0.499999999999997
stavki_01_docx,7,2.74744918932272e-06,0,0,0,0,0,0.999997252550811
stavki_02_odt,7,0,0,0.113015207145718,0,0,0,0.886984792854282
stavki_03_txt,3,4.40653362141509e-28,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
stavki_04_html,3,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
stavki_05_docx,2,0,0.5,0,0,0,0.5,0
stavki_06_odt,4,0,0,0,0.5,0,0,0.5
stavki_07_txt,1,0.999999990390375,9.6096244698646e-09,0,0,0,0,0
